rating,clean_text,label
5.0,keeps glued book hard put,positive
1.0,good thing free book starts classic cinderella story guy poor abused youngest 34step child34 older brothers go 34ball34 get selected go army stay home take care household fairy god mother father comes save sorry thats far could readbr someone else mentioned bad grammer really rehashing old fairy tail male point view sucksbr cant believe made series,negative
4.0,really enjoyed frank perettis book illusion im one science fiction times little bored details magic acts unbelievable plot however love story main characters mandy dane captured heart wanted keep reading find would happen perettis gift storytelling way writes kept engaged throughout book even unbelievable parts,positive
5.0,one heartwarming books ever bond mia kai unbreakable forever tied togethertheir relationship warms heart tragedy breaks heartbr ending great concept many us people truly beieve,positive
5.0,reading think like rocket scientist realized real work deciding apply myriad ideas set forth think title drew seemed promise way make better decisions responses lifes challenges think anyone whos felt pressure smart especially academic sense title grab youbr br downloaded printed accompanying material consisting chapter highlights exercises read key points starting new chapter learned difference strategy tacticsbr conducting thought experiment test fly taking moonshot using inverse way solve problem also idea premortem means asking idea fail chance tobr br hope continue gain insights work remaining exercises still skeptical person raise iq isnt author claiming professor varol teaches law stress concepts transferable fields astrophysics learning ways smart people consider possibilities surmount challenges helped thinking,positive
5.0,emotional ties writer creates characters invests time share successes feel losses part oregon crew page turning suspense end challenge reader find good place put,positive
4.0,received arc voluntarily reviewing itbr br another good book author love book stand alone series fun read allbr br russell never issue female hotshot firefighters paisley came along first time met made anxious issues beginning got called live building share kitchenbr br paisley believes russel cant stand done everything prove good guys crew still tension work together time crew things grow complicated discovers essentially new roommate notices something besides bugging brother seems catalystbr br keeping brothers secret everyone wound tight russell takes hands get paisley relax way surprises herbr br fun quick romance read,positive
5.0,awesome reverse harem romance read really loved characters storyline plenty steam sure standalone series would love read,positive
5.0,wonderful characters plot wont quit hold breath katie ruggle intense kept busy turning one actionfilled page another one long neverending nightmare see coming next story kept toes suspense kept mounting suspects seemed adding clues well hidden danger lurked around every corner intriguing story keep reader busy trying figure control freak dealing illegal activity really evil person keeps louise callum jumping back forth danger zones trying stay one step ahead plus try figure behind whole scheme find late could jealousy reason maybe little distrust even betrayal could lead avalanche trouble lou anyone else seems get waybr louise sparks get away home mother stepdad kept wanting treat like couldnt make decisions friend trying get close didnt want kind relationship liked friendbr lou got settled found job working dive team loved callum trusted wholeheartedly slowly things began happen though training dead guy turned reservoir things got worse lou survive hidden dangers involved must read,positive
4.0,avoiding spoilers ill say life continues complicated cam vicky find new enemy although started expect ending book ended,positive
4.0,story expected john grisham someone read 34lawyer books34 grab get actually powerful story family whose sons wrong side law story told humor think proves old saying 34crime doesnt pay34,positive
4.0,good story men women handle grief different ways communication key relationships made obvious sometimes obnoxious story could done without expletives,positive
5.0,another fine beginning postapocalyptic series enjoyed story writing looking forward rest series,positive
5.0,lizs friend opening new spa customer murdered sauna liz spa owner combine views plans well police chief catch murderer,positive
3.0,novels premise interesting thought provoking author great job building suspense pandemic consequences one particular family however thought much time spent main characters exhusbands possible relationship younger graduate student additionally reason main characters marital split constantly hinted implausible revealed would recommend authors books good goodbye deepest secret,neutre
5.0,good read full adventure interesting see things astronauts go get,positive
3.0,book extremely young side ya language feelings juvenile hate reading teen drama im likely bit biased interesting concept figured id check short easy read finished 2 sittings,neutre
5.0,fozzies odyssey pct reads like adventure trail thriller make wowfelt like walking,positive
5.0,cant put different everything ive read far,positive
5.0,liked cant write fast enough,positive
4.0,enjoyed book much technical difficulties seemed match obvious advanced technology crew enjoys fun first contact story,positive
5.0,book must read suffer migraines thought nothing wrong came simple truth eating drinking head death coffee tea caffeine putting body hurting every day took days get system stopped eating drinking things dr told started get better smoker alcohol drinker problem take 12 adil day stop hard part going cold turkey pain meds thank dr daniel md look forward next book,positive
3.0,useful info regarding basics worth reading,neutre
4.0,good expected good,positive
4.0,book mystery well action adventure sequel certainly read first one diving one worthwhile,positive
5.0,actually liked bookclub read quite enchanted realness characters yes flights fancy fictional romance characters great plot outrageous quite liked,positive
5.0,1,positive
5.0,really enjoyed million dollar devil jimmy handful hard take seriously times loved persistent elizabeth endearing times give lizzy credit valiant effort trying keep jimmy distance fighting losing battle day one admire though trying keep things professional banter hilarious yet sexy time connection bled pages katy evans awesome job one loved,positive
4.0,nice read little lacking basic grammar somewhat blurry details interested reading second,positive
